Propiedades del agua saturada (líquido-vapor): Tabla de presiones					
					
Presión	Temp.	V Líq.		V Vap.		H Líq.		H vap.
bar	ºC	m3/kg		m3/kg		kJ/kg		kJ/kg
0.20	60.06	0.0010172	7.649		251.40		2609.70
0.30	69.10	0.0010223	5.229		289.23		2625.30
0.40	75.87	0.0010265	3.993		317.58		2636.80
0.50	81.33	0.0010300	3.240		340.49		2645.90
0.60	85.94	0.0010331	2.732		359.86		2653.50
0.70	89.95	0.0010360	2.365		376.70		2660.00
0.80	93.50	0.0010380	2.087		391.66		2665.80
0.90	96.71	0.0010410	1.869		405.15		2670.90
1.00	99.63	0.0010432	1.694		417.46		2675.50
1.50	111.40	0.0010528	1.159		467.11		2693.60
2.00	120.20	0.0010605	0.8857		504.70		2706.70
2.50	127.40	0.0010672	0.7187		535.37		2716.90
3.00	133.60	0.0010732	0.6058		561.47		2725.30
3.50	138.90	0.0010786	0.5243		584.33		2732.40
4.00	143.60	0.0010836	0.4625		604.74		2738.60
4.50	147.90	0.0010882	0.4140		623.25		2743.90
5.00	151.90	0.0010926	0.3749		640.23		2748.70
6.00	158.90	0.0011006	0.3157		670.56		2756.80
7.00	165.00	0.0011080	0.2729		697.22		2763.50
8.00	170.40	0.0011148	0.2404		721.11		2769.10
9.00	175.40	0.0011212	0.2150		742.83		2773.90
10.00	179.90	0.0011273	0.1944		762.81		2778.10
15.00	198.30	0.0011539	0.1318		844.84		2792.20
20.00	212.40	0.0011767	0.09963		908.79		2799.50
25.00	224.00	0.0011973	0.07998		962.11		2803.10
30.00	233.90	0.0012165	0.06668		1008.40		2804.20
35.00	242.60	0.0012347	0.05707		1049.80		2803.40
40.00	250.40	0.0012522	0.04978		1087.30		2801.40
45.00	257.50	0.0012692	0.04406		1121.90		2798.30
50.00	264.00	0.0012859	0.03944		1154.20		2794.30
60.00	275.60	0.0013187	0.03244		1213.40		2784.30
70.00	285.90	0.0013513	0.02737		1267.00		2772.10
80.00	295.10	0.0013842	0.02352		1316.60		2758.00
90.00	303.40	0.0014178	0.02048		1363.30		2742.10
100.00	311.10	0.0014524	0.01803		1407.60		2724.70
110.00	318.20	0.0014886	0.01599		1450.10		2705.60
120.00	324.80	0.0015267	0.01426		1491.30		2684.90
130.00	330.90	0.0015671	0.01278		1531.50		2662.20
140.00	336.80	0.0016107	0.01149		1571.10		2637.60
150.00	342.20	0.0016581	0.01034		1610.50		2610.50
160.00	347.40	0.0017107	0.009306	1650.10		2580.60
170.00	352.40	0.0017702	0.008364	1690.30		2547.20
180.00	357.10	0.0018397	0.007489	1732.00		2509.10
190.00	361.50	0.0019243	0.006657	1776.50		2464.50
200.00	365.80	0.0020360	0.005834	1826.30		2409.70
205.00	368.28	0.0021246	0.005373	1861.28		2374.36
210.00	370.28	0.0022231	0.004926	1895.03		2333.73
213.00	371.46	0.0023038	0.004624	1919.65		2302.77
215.00	372.24	0.0023760	0.004397	1939.63		2277.12
219.67	373.60	0.0026700	0.003730	2005.48		2180.07
220.90	374.10	0.0031550	0.003155	2099.30		2099.30
